match_title,event_name,team_a,team_b,odds_a,odds_b,true_prob_a,true_prob_b,vig_percent,bookmaker_name,extraction_layer,scraped_at
PsychoFace vs MARKandLARRY,IEM Cologne Major 2026 Stage 2,PsychoFace,MARKandLARRY,1.36,2.91,68.15,31.85,7.89,HLTV,,2026-06-06 06:06:14.708582
Chicken Coop vs brazylijski luz,IEM Cologne Major 2026 Stage 2,Chicken Coop,brazylijski luz,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:06:05.539819
Lilmix vs Third Prime,European Pro League Series 7,Lilmix,Third Prime,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:05:56.239782
Atreides vs HYPERSPIRIT,European Pro League Series 7,Atreides,HYPERSPIRIT,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:05:42.946804
Virtus.pro vs GenOne,CCT 2026 Europe Series 4 Closed Qualifier,Virtus.pro,GenOne,1.17,4.53,79.47,20.53,7.55,HLTV,,2026-06-06 06:05:29.504238
ENCE vs brazylijski luz,NODWIN Clutch Series 9,ENCE,brazylijski luz,1.53,2.37,60.77,39.23,7.55,HLTV,,2026-06-06 06:05:13.097328
KOLESIE vs Lazer Cats,European Pro League Series 7,KOLESIE,Lazer Cats,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:05:10.076883
Club 333 vs raisedbypixels,ESEA Advanced Season 57 North America,Club 333,raisedbypixels,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:05:07.056115
LAG vs Villainous,ESEA Advanced Season 57 North America,LAG,Villainous,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:57.555089
Wanted Goons vs Brahmas,ESEA Advanced Season 57 North America,Wanted Goons,Brahmas,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:45.848039
ex-Zero Tenacity vs BIG Academy,ESEA Advanced Season 57 Europe,ex-Zero Tenacity,BIG Academy,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:30.126939
Nuclear TigeRES vs AM,IEM Cologne Major 2026 Stage 2,Nuclear TigeRES,AM,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:19.597085
Leo vs NEW VISION,IEM Cologne Major 2026 Stage 2,Leo,NEW VISION,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:04:09.770230
TDK vs Walczaki,CCT 2026 Europe Series 4 Closed Qualifier,TDK,Walczaki,5.52,1.11,16.74,83.26,8.21,HLTV,,2026-06-06 06:03:59.896689
Spirit vs BetBoom,IEM Cologne Major 2026 Stage 2,Spirit,BetBoom,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:03:53.857096
ex-RUBY vs 100 Thieves,IEM Cologne Major 2026 Stage 2,ex-RUBY,100 Thieves,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:03:44.008459
aAa vs GenOne,NODWIN Clutch Series 9,aAa,GenOne,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:03:12.263767
Johnny Speeds vs 1win,IEM Cologne Major 2026 Stage 2,Johnny Speeds,1win,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:02:05.487613
Legacy vs MIBR,NODWIN Clutch Series 9,Legacy,MIBR,1.35,3.07,69.46,30.54,6.65,HLTV,,2026-06-06 06:01:34.770141
Monte vs BIG,CCT 2026 Europe Series 3,Monte,BIG,1.69,2.08,55.17,44.83,7.25,HLTV,,2026-06-06 06:01:13.171917
G2 vs M80,IEM Cologne Major 2026 Stage 2,G2,M80,2.97,1.37,31.57,68.43,6.66,HLTV,,2026-06-06 06:01:10.146552
paiN vs TYLOO,IEM Cologne Major 2026 Stage 2,paiN,TYLOO,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:01:07.108262
FUT vs B8,CCT 2026 Europe Series 4 Closed Qualifier,FUT,B8,1.2,4.09,77.32,22.68,7.78,HLTV,,2026-06-06 06:01:04.086719
9z vs FlyQuest,IEM Cologne Major 2026 Stage 2,9z,FlyQuest,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:01:00.949430
Astralis vs GamerLegion,CCT 2026 Europe Series 3,Astralis,GamerLegion,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-06 06:00:57.489044
ZOTIX vs undefined,IEM Cologne Major 2026 Stage 2,ZOTIX,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:14:03.936060
BetBoom vs undefined,NODWIN Clutch Series 9,BetBoom,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:10:31.260731
B8 vs undefined,DFRAG Open Series 5,B8,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:10:22.941311
9z vs undefined,ESEA Advanced Season 57 Europe,9z,,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:10:09.850415
3DMAX vs Arch,CCT 2026 Europe Series 4 Closed Qualifier,3DMAX,Arch,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:55.267970
Monte vs COPH9K,NODWIN Clutch Series 9,Monte,COPH9K,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:45.449079
PARIVISION vs Banger Gang,IEM Cologne Major 2026 Stage 2,PARIVISION,Banger Gang,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:36.226461
Legacy vs bankaPEPSI,IEM Cologne Major 2026 Stage 2,Legacy,bankaPEPSI,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:26.613108
FaZe vs LFO 6,IEM Cologne Major 2026 Stage 2,FaZe,LFO 6,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:18.063460
MOUZ vs Clutchain,IEM Cologne Major 2026 Stage 2,MOUZ,Clutchain,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:09:05.622998
The MongolZ vs JUMBO,CCT 2026 Europe Series 4 Closed Qualifier,The MongolZ,JUMBO,1.41,2.71,65.78,34.22,7.82,HLTV,,2026-06-05 12:08:55.629608
PARIVISION vs Project 91,NODWIN Clutch Series 9,PARIVISION,Project 91,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:52.581786
Aurora vs ReThink,European Pro League Series 7,Aurora,ReThink,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:39.418278
FURIA vs ROUNDS,CCT 2026 Europe Series 4 Closed Qualifier,FURIA,ROUNDS,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:25.903667
Natus Vincere vs Phantom,NODWIN Clutch Series 9,Natus Vincere,Phantom,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:12.508126
Falcons vs ex-RUBY,European Pro League Series 7,Falcons,ex-RUBY,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:08:02.467182
Vitality vs Misa,IEM Cologne Major 2026 Stage 2,Vitality,Misa,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:52.700671
Falcons Force vs RUSTEC,IEM Cologne Major 2026 Stage 2,Falcons Force,RUSTEC,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:43.350317
B8 Academy vs CYBERSHOKE,IEM Cologne Major 2026 Stage 2,B8 Academy,CYBERSHOKE,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:34.530942
Wingman vs BIG Academy,IEM Cologne Major 2026 Stage 2,Wingman,BIG Academy,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:21.270380
NEW VISION vs ex-Zero Tenacity,CCT 2026 Europe Series 4 Closed Qualifier,NEW VISION,ex-Zero Tenacity,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:07:06.449677
Rooster vs BIG,NODWIN Clutch Series 9,Rooster,BIG,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:06:57.436954
SemperFi vs FlyQuest,IEM Cologne Major 2026 Stage 2,SemperFi,FlyQuest,1.5,2.5,62.5,37.5,6.67,HLTV,,2026-06-05 12:06:49.368354
